Date,Time of day,yes_price,fore_gen,hour,month,day,weekday,week,norm_yp,norm_fg,norm_hh,norm_mm,norm_dd,norm_ww
"28-May, 2018",1:00 PM,26.24,0.6,13,5,28,1,22,0.5005629803691194,0.7407407407407407,0.5652173913043478,0.36363636363636365,0.9,0.0
"28-May, 2018",2:00 PM,23.79,0.53,14,5,28,1,22,0.48856905076614293,0.654320987654321,0.6086956521739131,0.36363636363636365,0.9,0.0
"28-May, 2018",3:00 PM,26.21,0.43,15,5,28,1,22,0.5004161159250013,0.5308641975308641,0.6521739130434783,0.36363636363636365,0.9,0.0
"28-May, 2018",4:00 PM,27.56,0.3,16,5,28,1,22,0.5070250159103149,0.37037037037037035,0.6956521739130435,0.36363636363636365,0.9,0.0
"28-May, 2018",5:00 PM,32.0,0.17,17,5,28,1,22,0.5287609536397906,0.20987654320987656,0.7391304347826086,0.36363636363636365,0.9,0.0
"28-May, 2018",6:00 PM,44.97,0.06,18,5,28,1,22,0.5922553483135067,0.07407407407407407,0.7826086956521738,0.36363636363636365,0.9,0.0
"28-May, 2018",7:00 PM,46.22,0.01,19,5,28,1,22,0.59837470015176,0.012345679012345678,0.8260869565217391,0.36363636363636365,0.9,0.0
"28-May, 2018",8:00 PM,46.8,0.0,20,5,28,1,22,0.6012140794047095,0.0,0.8695652173913043,0.36363636363636365,0.9,0.0
"28-May, 2018",9:00 PM,46.93,0.0,21,5,28,1,22,0.6018504919958879,0.0,0.9130434782608695,0.36363636363636365,0.9,0.0
"28-May, 2018",10:00 PM,46.14,0.0,22,5,28,1,22,0.5979830616341117,0.0,0.9565217391304348,0.36363636363636365,0.9,0.0
"28-May, 2018",11:00 PM,37.69,0.0,23,5,28,1,22,0.5566162432075196,0.0,1.0,0.36363636363636365,0.9,0.0
"29-May, 2018",12:00 AM,32.06,0.0,0,5,29,2,22,0.5290546825280267,0.0,0.0,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",1:00 AM,29.36,0.0,1,5,29,2,22,0.5158368825573996,0.0,0.043478260869565216,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",2:00 AM,27.6,0.0,2,5,29,2,22,0.507220835169139,0.0,0.08695652173913043,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",3:00 AM,27.56,0.0,3,5,29,2,22,0.5070250159103149,0.0,0.13043478260869565,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",4:00 AM,28.51,0.0,4,5,29,2,22,0.5116757233073874,0.0,0.17391304347826086,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",5:00 AM,32.86,0.04,5,5,29,2,22,0.5329710677045089,0.04938271604938271,0.21739130434782608,0.36363636363636365,0.9333333333333333,0.16666666666666666
