Date,Time of day,day_price[€/MWh],yes_price[€/MWh],fore_gen[MWh],hour,month,day,norm_dp[€/MWh],norm_yp[€/MWh],norm_fg[MWh],norm_hh,norm_mm,norm_dd
"Apr 16, 2019",1:00 AM,35.85,37.11,0.0,1,4,16,0.5951671631909964,0.6011254551473023,0.0,0.043478260869565216,0.2727272727272727,0.5
"Apr 16, 2019",2:00 AM,36.66,37.17,0.0,2,4,16,0.5989974937343359,0.6014091833356978,0.0,0.08695652173913043,0.2727272727272727,0.5
"Apr 16, 2019",3:00 AM,36.03,38.9,0.0,3,4,16,0.596018347756183,0.6095900127677685,0.0,0.13043478260869565,0.2727272727272727,0.5
"Apr 16, 2019",4:00 AM,35.06,37.99,0.0,4,4,16,0.5914314087104555,0.6052868019104365,0.0,0.17391304347826086,0.2727272727272727,0.5
"Apr 16, 2019",5:00 AM,37.42,42.6,0.0,5,4,16,0.6025913841206791,0.627086584385492,0.0,0.21739130434782608,0.2727272727272727,0.5
"Apr 16, 2019",6:00 AM,46.22,50.23,0.0,6,4,16,0.6442048517520216,0.663167352343122,0.0,0.2608695652173913,0.2727272727272727,0.5
"Apr 16, 2019",7:00 AM,52.06,58.76,0.08,7,4,16,0.6718210620891854,0.7035040431266847,0.09876543209876543,0.30434782608695654,0.2727272727272727,0.5
"Apr 16, 2019",8:00 AM,52.21,60.33,0.28,8,4,16,0.6725303825601741,0.7109282640563674,0.34567901234567905,0.34782608695652173,0.2727272727272727,0.5
"Apr 16, 2019",9:00 AM,46.62,47.29,0.47,9,4,16,0.6460963730079917,0.6492646711117417,0.5802469135802468,0.3913043478260869,0.2727272727272727,0.5
"Apr 16, 2019",10:00 AM,40.72,43.02,0.62,10,4,16,0.6181964344824326,0.6290726817042607,0.7654320987654321,0.43478260869565216,0.2727272727272727,0.5
"Apr 16, 2019",11:00 AM,35.7,40.24,0.72,11,4,16,0.5944578427200076,0.6159266089752684,0.8888888888888888,0.4782608695652174,0.2727272727272727,0.5
"Apr 16, 2019",12:00 PM,35.15,32.05,0.77,12,4,16,0.5918570009930487,0.5771977112592803,0.9506172839506173,0.5217391304347826,0.2727272727272727,0.5
"Apr 16, 2019",1:00 PM,32.95,30.43,0.77,13,4,16,0.5814536340852131,0.5695370501726014,0.9506172839506173,0.5652173913043478,0.2727272727272727,0.5
"Apr 16, 2019",2:00 PM,34.52,32.04,0.73,14,4,16,0.5888778550148959,0.577150423227881,0.9012345679012345,0.6086956521739131,0.2727272727272727,0.5
"Apr 16, 2019",3:00 PM,37.02,35.67,0.64,15,4,16,0.600699862864709,0.5943159786258099,0.7901234567901234,0.6521739130434783,0.2727272727272727,0.5
"Apr 16, 2019",4:00 PM,39.28,35.58,0.51,16,4,16,0.6113869579609401,0.5938903863432166,0.6296296296296297,0.6956521739130435,0.2727272727272727,0.5
"Apr 16, 2019",5:00 PM,44.5,40.96,0.34,17,4,16,0.6360713103513501,0.6193313472360147,0.4197530864197531,0.7391304347826086,0.2727272727272727,0.5
"Apr 16, 2019",6:00 PM,49.74,47.01,0.15,18,4,16,0.6608502388045586,0.6479406062325626,0.18518518518518517,0.7826086956521738,0.2727272727272727,0.5
"Apr 16, 2019",7:00 PM,52.95,49.27,0.02,19,4,16,0.6760296968837187,0.6586277013287938,0.024691358024691357,0.8260869565217391,0.2727272727272727,0.5
"Apr 16, 2019",8:00 PM,50.32,48.56,0.0,20,4,16,0.6635929446257153,0.6552702510994468,0.0,0.8695652173913043,0.2727272727272727,0.5
"Apr 16, 2019",9:00 PM,47.94,45.7,0.0,21,4,16,0.6523383931526932,0.6417458741192605,0.0,0.9130434782608695,0.2727272727272727,0.5
"Apr 16, 2019",10:00 PM,43.9,42.43,0.0,22,4,16,0.633234028467395,0.6262826878517048,0.0,0.9565217391304348,0.2727272727272727,0.5
"Apr 16, 2019",11:00 PM,38.8,34.97,0.0,23,4,16,0.609117132453776,0.5910058164278622,0.0,1.0,0.2727272727272727,0.5
"Apr 17, 2019",12:00 AM,33.5,37.16,0.0,0,4,17,0.584054475812172,0.6013618953042985,0.0,0.0,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",1:00 AM,32.99,35.85,0.0,1,4,17,0.5816427862108101,0.5951671631909964,0.0,0.043478260869565216,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",2:00 AM,35.02,36.66,0.0,2,4,17,0.5912422565848584,0.5989974937343359,0.0,0.08695652173913043,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",3:00 AM,35.02,36.03,0.0,3,4,17,0.5912422565848584,0.596018347756183,0.0,0.13043478260869565,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",4:00 AM,35.36,35.06,0.0,4,4,17,0.592850049652433,0.5914314087104555,0.0,0.17391304347826086,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",5:00 AM,37.94,37.42,0.0,5,4,17,0.6050503617534403,0.6025913841206791,0.0,0.21739130434782608,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",6:00 AM,46.82,46.22,0.0,6,4,17,0.6470421336359768,0.6442048517520216,0.0,0.2608695652173913,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",7:00 AM,50.43,52.06,0.06,7,4,17,0.6641131129711071,0.6718210620891854,0.07407407407407407,0.30434782608695654,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",8:00 AM,52.23,52.21,0.17,8,4,17,0.6726249586229726,0.6725303825601741,0.20987654320987656,0.34782608695652173,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",9:00 AM,50.4,46.62,0.33,9,4,17,0.6639712488769093,0.6460963730079917,0.4074074074074074,0.3913043478260869,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",10:00 AM,48.01,40.72,0.52,10,4,17,0.6526694093724879,0.6181964344824326,0.6419753086419753,0.43478260869565216,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",11:00 AM,39.72,35.7,0.67,11,4,17,0.6134676313425073,0.5944578427200076,0.8271604938271605,0.4782608695652174,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",12:00 PM,35.66,35.15,0.76,12,4,17,0.5942686905944106,0.5918570009930487,0.9382716049382716,0.5217391304347826,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",1:00 PM,34.09,32.95,0.77,13,4,17,0.5868444696647279,0.5814536340852131,0.9506172839506173,0.5652173913043478,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",2:00 PM,36.12,34.52,0.74,14,4,17,0.5964439400387762,0.5888778550148959,0.9135802469135802,0.6086956521739131,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",3:00 PM,35.05,37.02,0.65,15,4,17,0.5913841206790562,0.600699862864709,0.8024691358024691,0.6521739130434783,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",4:00 PM,35.49,39.28,0.52,16,4,17,0.5934647940606234,0.6113869579609401,0.6419753086419753,0.6956521739130435,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",5:00 PM,38.73,44.5,0.35,17,4,17,0.6087861162339812,0.6360713103513501,0.43209876543209874,0.7391304347826086,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",6:00 PM,46.09,49.74,0.15,18,4,17,0.6435901073438314,0.6608502388045586,0.18518518518518517,0.7826086956521738,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",7:00 PM,49.49,52.95,0.02,19,4,17,0.6596680380195773,0.6760296968837187,0.024691358024691357,0.8260869565217391,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",8:00 PM,48.09,50.32,0.0,20,4,17,0.6530477136236819,0.6635929446257153,0.0,0.8695652173913043,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",9:00 PM,44.83,47.94,0.0,21,4,17,0.6376318153875254,0.6523383931526932,0.0,0.9130434782608695,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",10:00 PM,41.03,43.9,0.0,22,4,17,0.6196623634558094,0.633234028467395,0.0,0.9565217391304348,0.2727272727272727,0.5333333333333333
"Apr 17, 2019",11:00 PM,37.29,38.8,0.0,23,4,17,0.6019766397124888,0.609117132453776,0.0,1.0,0.2727272727272727,0.5333333333333333
"Apr 18, 2019",12:00 AM,37.93,33.5,0.0,0,4,18,0.605003073722041,0.584054475812172,0.0,0.0,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",1:00 AM,37.3,32.99,0.0,1,4,18,0.6020239277438881,0.5816427862108101,0.0,0.043478260869565216,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",2:00 AM,37.24,35.02,0.0,2,4,18,0.6017401995554925,0.5912422565848584,0.0,0.08695652173913043,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",3:00 AM,35.02,35.02,0.0,3,4,18,0.5912422565848584,0.5912422565848584,0.0,0.13043478260869565,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",4:00 AM,35.06,35.36,0.0,4,4,18,0.5914314087104555,0.592850049652433,0.0,0.17391304347826086,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",5:00 AM,38.07,37.94,0.0,5,4,18,0.6056651061616305,0.6050503617534403,0.0,0.21739130434782608,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",6:00 AM,47.82,46.82,0.0,6,4,18,0.6517709367759021,0.6470421336359768,0.0,0.2608695652173913,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",7:00 AM,51.95,50.43,0.08,7,4,18,0.6713008937437935,0.6641131129711071,0.09876543209876543,0.30434782608695654,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",8:00 AM,55.31,52.23,0.24,8,4,18,0.6871896722939425,0.6726249586229726,0.2962962962962963,0.34782608695652173,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",9:00 AM,49.93,50.4,0.41,9,4,18,0.6617487114011444,0.6639712488769093,0.5061728395061728,0.3913043478260869,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",10:00 AM,44.57,48.01,0.55,10,4,18,0.6364023265711449,0.6526694093724879,0.6790123456790124,0.43478260869565216,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",11:00 AM,40.39,39.72,0.66,11,4,18,0.6166359294462572,0.6134676313425073,0.8148148148148148,0.4782608695652174,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",12:00 PM,37.71,35.66,0.72,12,4,18,0.6039627370312575,0.5942686905944106,0.8888888888888888,0.5217391304347826,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",1:00 PM,30.13,34.09,0.74,13,4,18,0.5681184092306237,0.5868444696647279,0.9135802469135802,0.5652173913043478,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",2:00 PM,27.12,36.12,0.72,14,4,18,0.5538847117794486,0.5964439400387762,0.8888888888888888,0.6086956521739131,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",3:00 PM,30.14,35.05,0.65,15,4,18,0.568165697262023,0.5913841206790562,0.8024691358024691,0.6521739130434783,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",4:00 PM,34.14,35.49,0.52,16,4,18,0.5870809098217242,0.5934647940606234,0.6419753086419753,0.6956521739130435,0.2727272727272727,0.5666666666666667
"Apr 18, 2019",5:00 PM,39.4,38.73,0.35,17,4,18,0.6119544143377311,0.6087861162339812,0.43209876543209874,0.7391304347826086,0.2727272727272727,0.5666666666666667
