Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp
"23-Apr, 2018",9:00 AM,40.47,0.2,35.69728740277796,9,4,23,1,17,0.5702256816957949,0.20618556701030932,0.5671066323342905
"23-Apr, 2018",10:00 AM,38.99,0.25,41.08099881000962,10,4,23,1,17,0.5629803691193029,0.2577319587628866,0.5913533846706489
"23-Apr, 2018",11:00 AM,37.99,0.22,40.301611024616534,11,4,23,1,17,0.5580848876487003,0.22680412371134023,0.5878432368976786
"23-Apr, 2018",12:00 PM,32.31,0.19,25.40237323466673,12,4,23,1,17,0.5302785528956774,0.19587628865979384,0.5207411763733782
"23-Apr, 2018",1:00 PM,28.49,0.2,29.81593862124371,13,4,23,1,17,0.5115778136779753,0.20618556701030932,0.5406186584213404
"23-Apr, 2018",2:00 PM,26.46,0.22,22.77216913945675,14,4,23,1,17,0.5016399862926519,0.22680412371134023,0.5088954620572342
"23-Apr, 2018",3:00 PM,28.6,0.2,27.88952698976884,15,4,23,1,17,0.5121163166397416,0.20618556701030932,0.5319426313847668
"23-Apr, 2018",4:00 PM,30.05,0.17,23.3574927171488,16,4,23,1,17,0.5192147647721155,0.17525773195876293,0.5115315981260932
"23-Apr, 2018",5:00 PM,32.4,0.18,33.1176515570602,17,4,23,1,17,0.5307191462280316,0.18556701030927836,0.5554886634763956
"23-Apr, 2018",6:00 PM,39.72,0.22,45.80728299067251,18,4,23,1,17,0.5665540705928429,0.22680412371134023,0.6126392659765914
"23-Apr, 2018",7:00 PM,44.1,0.24,42.13408101328513,19,4,23,1,17,0.5879962794340825,0.24742268041237114,0.5960961766669564
"23-Apr, 2018",8:00 PM,45.6,0.25,52.174178458448154,20,4,23,1,17,0.5953395016399864,0.2577319587628866,0.6413140083395035
"23-Apr, 2018",9:00 PM,45.25,0.26,46.058364160465786,21,4,23,1,17,0.5936260831252754,0.2680412371134021,0.6137700663631283
"23-Apr, 2018",10:00 PM,43.47,0.22,41.72540085344325,22,4,23,1,17,0.5849121261076028,0.22680412371134023,0.5942555938661847
"23-Apr, 2018",11:00 PM,38.04,0.2,37.5511909324623,23,4,23,1,17,0.5583296617222304,0.20618556701030932,0.5754561028648573
"24-Apr, 2018",12:00 AM,30.9,0.2,29.814361940807853,0,4,24,2,17,0.5233759240221276,0.20618556701030932,0.540611557487217
"24-Apr, 2018",1:00 AM,30.0,0.2,26.514396874643282,1,4,24,2,17,0.5189699906985853,0.20618556701030932,0.5257494243553317
"24-Apr, 2018",2:00 AM,28.45,0.19,25.24388303557065,2,4,24,2,17,0.5113819944191512,0.19587628865979384,0.5200273801992259
"24-Apr, 2018",3:00 AM,24.12,0.2,17.261238450169852,3,4,24,2,17,0.4901845596514418,0.20618556701030932,0.4840757491382824
"24-Apr, 2018",4:00 AM,23.4,0.21,18.113017547114858,4,4,24,2,17,0.4866598129926079,0.21649484536082475,0.48791192742621414
"24-Apr, 2018",5:00 AM,30.1,0.22,29.525382112896786,5,4,24,2,17,0.5194595388456456,0.22680412371134023,0.539310071990028
"24-Apr, 2018",6:00 AM,36.37,0.16,32.403576084207764,6,4,24,2,17,0.5501542076663241,0.16494845360824745,0.5522726643579317
"24-Apr, 2018",7:00 AM,40.28,0.15,39.50166595227426,7,4,24,2,17,0.5692955402163804,0.15463917525773196,0.5842405047702247
"24-Apr, 2018",8:00 AM,41.92,0.24,40.51801973298997,8,4,24,2,17,0.5773241298281687,0.24742268041237114,0.5888178820742966
"24-Apr, 2018",9:00 AM,37.55,0.27,36.939310346680266,9,4,24,2,17,0.5559308758016351,0.2783505154639176,0.5727003613511211
"24-Apr, 2018",10:00 AM,28.03,0.29,28.65379707813053,10,4,24,2,17,0.509325892201498,0.29896907216494845,0.5353846932170003
"24-Apr, 2018",11:00 AM,25.53,0.3,10.780720058158023,11,4,24,2,17,0.4970871885249915,0.30927835051546393,0.4548892804410079
"24-Apr, 2018",12:00 PM,28.43,0.3,35.017835703505824,12,4,24,2,17,0.5112840847897392,0.30927835051546393,0.5640465691491353
"24-Apr, 2018",1:00 PM,28.7,0.29,19.564183047250477,13,4,24,2,17,0.5126058647868019,0.29896907216494845,0.49444757687309804
"24-Apr, 2018",2:00 PM,25.01,0.27,26.062228555468906,14,4,24,2,17,0.4945415381602781,0.2783505154639176,0.5237129828709977
"24-Apr, 2018",3:00 PM,28.51,0.24,16.05863606982603,15,4,24,2,17,0.5116757233073874,0.24742268041237114,0.47865955947474587
"24-Apr, 2018",4:00 PM,29.9,0.2,34.40628083536796,16,4,24,2,17,0.518480442551525,0.20618556701030932,0.5612922945778953
"24-Apr, 2018",5:00 PM,36.37,0.15,41.46655672035236,17,4,24,2,17,0.5501542076663241,0.15463917525773196,0.5930898312325591
"24-Apr, 2018",6:00 PM,41.53,0.12,43.10542986384996,18,4,24,2,17,0.5754148920546337,0.12371134020618557,0.6004708641697478
"24-Apr, 2018",7:00 PM,46.39,0.08,43.59362493885325,19,4,24,2,17,0.5992069320017624,0.08247422680412372,0.6026695602327526
"24-Apr, 2018",8:00 PM,50.03,0.05,45.994409901610155,20,4,24,2,17,0.6170264845547561,0.05154639175257733,0.6134820340081166
"24-Apr, 2018",9:00 PM,47.09,0.02,51.214021968970435,21,4,24,2,17,0.6026337690311843,0.02061855670103093,0.6369897281462445
"24-Apr, 2018",10:00 PM,44.9,0.01,46.78591281767379,22,4,24,2,17,0.5919126646105646,0.010309278350515465,0.6170467449904924
"24-Apr, 2018",11:00 PM,40.18,0.02,47.53033944288023,23,4,24,2,17,0.5688059920693201,0.02061855670103093,0.6203994373338684
"25-Apr, 2018",12:00 AM,28.68,0.06,26.01500279706956,0,4,25,3,17,0.5125079551573898,0.061855670103092786,0.5235002910713838
"25-Apr, 2018",1:00 AM,24.09,0.11,24.960033135995374,1,4,25,3,17,0.4900376952073237,0.11340206185567012,0.5187489984853664
"25-Apr, 2018",2:00 AM,18.8,0.16,12.591915906895142,2,4,25,3,17,0.4641405982278358,0.16494845360824745,0.46304640734754676
"25-Apr, 2018",3:00 AM,22.87,0.21,28.663843076505014,3,4,25,3,17,0.4840652078131885,0.21649484536082475,0.5354299376248322
"25-Apr, 2018",4:00 AM,18.16,0.26,19.787413653681238,4,4,25,3,17,0.4610074900866501,0.2680412371134021,0.4954529459983359
"25-Apr, 2018",5:00 AM,21.19,0.29,24.356654887127576,5,4,25,3,17,0.4758407989425761,0.29896907216494845,0.5160315491537043
"25-Apr, 2018",6:00 AM,31.38,0.21,32.80277418994317,6,4,25,3,17,0.5257257551280169,0.21649484536082475,0.5540705426004222
"25-Apr, 2018",7:00 AM,35.9,0.16,37.631620646230935,7,4,25,3,17,0.5478533313751408,0.16494845360824745,0.5758183361278832
"25-Apr, 2018",8:00 AM,32.45,0.4,33.056606543719695,8,4,25,3,17,0.5309639203015617,0.41237113402061865,0.5552137335613468
"25-Apr, 2018",9:00 AM,28.15,0.58,24.725644629300522,9,4,25,3,17,0.5099133499779704,0.5979381443298969,0.5176933772526447
"25-Apr, 2018",10:00 AM,18.84,0.65,17.18744016411015,10,4,25,3,17,0.4643364174866599,0.6701030927835052,0.4837433819979238
"25-Apr, 2018",11:00 AM,20.1,0.68,18.259315678415124,11,4,25,3,17,0.4705047241396192,0.7010309278350517,0.48857081388735407
"25-Apr, 2018",12:00 PM,21.14,0.69,17.21122132664275,12,4,25,3,17,0.47559602486904595,0.711340206185567,0.48385048579948053
"25-Apr, 2018",1:00 PM,21.27,0.7,27.71709190788869,13,4,25,3,17,0.4762324374602243,0.7216494845360825,0.5311660313020002
"25-Apr, 2018",2:00 PM,22.07,0.7,24.437223135536467,14,4,25,3,17,0.4801488226367064,0.7216494845360825,0.5163944063385676
"25-Apr, 2018",3:00 PM,21.28,0.69,27.40460847395607,15,4,25,3,17,0.4762813922749303,0.711340206185567,0.529758692041281
"25-Apr, 2018",4:00 PM,22.56,0.63,21.032019081953823,16,4,25,3,17,0.48254760855730167,0.6494845360824743,0.5010583058129939
"25-Apr, 2018",5:00 PM,24.59,0.5,31.661508213331828,17,4,25,3,17,0.49248543594262506,0.5154639175257733,0.5489305951939477
"25-Apr, 2018",6:00 PM,34.99,0.38,33.40818250259881,18,4,25,3,17,0.5433984432368925,0.3917525773195877,0.5567971347798648
"25-Apr, 2018",7:00 PM,38.75,0.31,49.75268565214734,19,4,25,3,17,0.5618054535663584,0.3195876288659794,0.6304082721442492
"25-Apr, 2018",8:00 PM,40.18,0.27,38.714955697959645,20,4,25,3,17,0.5688059920693201,0.2783505154639176,0.5806973786154279
"25-Apr, 2018",9:00 PM,39.15,0.23,35.358466505035594,21,4,25,3,17,0.5637636461545994,0.23711340206185572,0.5655806763956222
"25-Apr, 2018",10:00 PM,36.38,0.23,36.313622095924735,22,4,25,3,17,0.5502031624810301,0.23711340206185572,0.5698824339199702
"25-Apr, 2018",11:00 PM,32.1,0.24,30.314024634996606,23,4,25,3,17,0.5292505017868508,0.24742268041237114,0.5428619005463636
"26-Apr, 2018",12:00 AM,25.03,0.23,21.82671934218709,0,4,26,4,17,0.4946394477896902,0.23711340206185572,0.5046374167522677
"26-Apr, 2018",1:00 AM,23.08,0.23,22.124841557323474,1,4,26,4,17,0.48509325892201505,0.23711340206185572,0.5059800770417232
"26-Apr, 2018",2:00 AM,21.59,0.25,23.719660583852143,2,4,26,4,17,0.4777989915308171,0.2577319587628866,0.5131627023781427
"26-Apr, 2018",3:00 AM,19.04,0.27,22.85223488704947,3,4,26,4,17,0.4653155137807804,0.2783505154639176,0.5092560561169193
"26-Apr, 2018",4:00 AM,21.08,0.24,28.114933548644746,4,4,26,4,17,0.47530229598080975,0.24742268041237114,0.5329578004000883
"26-Apr, 2018",5:00 AM,22.06,0.21,13.530457582534153,5,4,26,4,17,0.48009986782200037,0.21649484536082475,0.4672733403766839
"26-Apr, 2018",6:00 AM,35.7,0.21,28.00396987376801,6,4,26,4,17,0.5468742350810203,0.21649484536082475,0.532458050591907
"26-Apr, 2018",7:00 AM,44.5,0.31,38.792928357888506,7,4,26,4,17,0.5899544720223235,0.3195876288659794,0.5810485459851653
"26-Apr, 2018",8:00 AM,44.93,0.39,52.82150041986653,8,4,26,4,17,0.5920595290546826,0.40206185567010316,0.6442293680408637
"26-Apr, 2018",9:00 AM,38.97,0.44,40.15995962090876,9,4,26,4,17,0.5628824594898909,0.45360824742268047,0.5872052780168986
"26-Apr, 2018",10:00 AM,33.97,0.48,37.807045483700705,10,4,26,4,17,0.5384050521368777,0.4948453608247423,0.5766084012457984
"26-Apr, 2018",11:00 AM,31.15,0.5,23.2056477770092,11,4,26,4,17,0.5245997943897783,0.5154639175257733,0.510847730366735
"26-Apr, 2018",12:00 PM,23.71,0.5,27.850111767023325,12,4,26,4,17,0.48817741224849476,0.5154639175257733,0.5317651160850223
"26-Apr, 2018",1:00 PM,23.07,0.48,26.82419797675016,13,4,26,4,17,0.48504430410730903,0.4948453608247423,0.5271446831328037
"26-Apr, 2018",2:00 PM,21.14,0.43,21.456461692837085,14,4,26,4,17,0.47559602486904595,0.443298969072165,0.5029698783488583
"26-Apr, 2018",3:00 PM,21.11,0.39,25.786205581559674,15,4,26,4,17,0.47544916042492785,0.40206185567010316,0.5224698514731051
"26-Apr, 2018",4:00 PM,21.05,0.36,25.94405519625257,16,4,26,4,17,0.4751554315366917,0.3711340206185567,0.5231807626316615
"26-Apr, 2018",5:00 PM,28.43,0.29,27.725157132174374,17,4,26,4,17,0.5112840847897392,0.29896907216494845,0.5312023548492708
"26-Apr, 2018",6:00 PM,35.98,0.22,34.97305237956685,18,4,26,4,17,0.548244969892789,0.22680412371134023,0.5638448774011549
"26-Apr, 2018",7:00 PM,41.57,0.19,35.78035292463582,19,4,26,4,17,0.5756107113134578,0.19587628865979384,0.5674807365504771
"26-Apr, 2018",8:00 PM,42.0,0.14,39.98937535430906,20,4,26,4,17,0.577715768345817,0.14432989690721654,0.5864370134960392
"26-Apr, 2018",9:00 PM,40.98,0.09,43.827808870827134,21,4,26,4,17,0.5727223772458022,0.09278350515463918,0.6037242601173152
"26-Apr, 2018",10:00 PM,37.66,0.05,37.47713896357044,22,4,26,4,17,0.5564693787634014,0.05154639175257733,0.5751225932069419
"26-Apr, 2018",11:00 PM,33.1,0.02,26.644582650330356,23,4,26,4,17,0.5341459832574534,0.02061855670103093,0.5263357452076272
"27-Apr, 2018",12:00 AM,34.96,0.0,39.32995917423385,0,4,27,5,17,0.5432515787927743,0.0,0.5834671847672194
"27-Apr, 2018",1:00 AM,33.01,0.0,29.263280202041212,1,4,27,5,17,0.5337053899250992,0.0,0.5381296372232489
"27-Apr, 2018",2:00 AM,32.43,0.01,37.37957363827263,2,4,27,5,17,0.5308660106721497,0.010309278350515465,0.5746831858724524
"27-Apr, 2018",3:00 AM,30.74,0.02,30.855317175587803,3,4,27,5,17,0.5225926469868312,0.02061855670103093,0.5452997329598179
"27-Apr, 2018",4:00 AM,30.0,0.04,33.397687352287136,4,4,27,5,17,0.5189699906985853,0.04123711340206186,0.5567498675155018
"27-Apr, 2018",5:00 AM,35.55,0.08,32.6867637191454,5,4,27,5,17,0.5461399128604298,0.08247422680412372,0.5535480634143946
"27-Apr, 2018",6:00 AM,44.48,0.12,48.04705875680789,6,4,27,5,17,0.5898565623929114,0.12371134020618557,0.6227265987072266
"27-Apr, 2018",7:00 AM,49.12,0.11,45.503867586060046,7,4,27,5,17,0.6125715964165077,0.11340206185567012,0.611272766620628
"27-Apr, 2018",8:00 AM,54.08,0.16,53.68747849983053,8,4,27,5,17,0.6368531845106967,0.16494845360824745,0.6481294946348335
"27-Apr, 2018",9:00 AM,45.63,0.16,49.83613324480028,9,4,27,5,17,0.5954863660841045,0.16494845360824745,0.6307840971019918
"27-Apr, 2018",10:00 AM,40.28,0.16,37.27789462292958,10,4,27,5,17,0.5692955402163804,0.16494845360824745,0.5742252516118016
"27-Apr, 2018",11:00 AM,40.17,0.16,50.670821023438776,11,4,27,5,17,0.5687570372546141,0.16494845360824745,0.6345433008029271
"27-Apr, 2018",12:00 PM,37.66,0.17,37.44513076562319,12,4,27,5,17,0.5564693787634014,0.17525773195876293,0.5749784371053875
"27-Apr, 2018",1:00 PM,35.05,0.16,39.63562993864797,13,4,27,5,17,0.5436921721251285,0.16494845360824745,0.5848438416421141
